,0
interaction_id,0.0
timestamp,0.0
country_code,0.0
language,0.0
channel,0.0
platform,0.0
text_transcript,0.0
audio_features,0.0
sentiment_score,0.0
urgency_score,0.0
authority_claim,0.0
fear_trigger_score,0.0
trust_manipulation_score,0.0
cognitive_load_score,0.0
persuasion_strategy,0.0
social_engineering_pattern,0.0
ip_address_hash,0.0
device_type,0.0
network_type,0.0
url_domain,0.0
malicious_domain_score,0.0
response_time,0.0
message_frequency,0.0
conversation_length,0.0
interaction_entropy,0.0
attack_type,0.0
attack_stage,0.0
attack_complexity,0.0
financial_target,0.0
trust_signals,0.0
cognitive_distortion_score,0.0
human_verified_label,0.0
model_prediction,0.0
confidence_score,0.0
CMS,0.0
