,feature,MI
14,human_verified_label,0.7091266053119673
11,financial_target,0.3693480509939835
10,interaction_entropy,0.34781039477913445
17,CMS,0.33798362123002934
15,model_prediction,0.30531984705730353
5,cognitive_load_score,0.2665620327799385
3,fear_trigger_score,0.2637105760596181
1,urgency_score,0.26192923127364676
6,malicious_domain_score,0.2596420994361708
0,sentiment_score,0.25948253124479037
4,trust_manipulation_score,0.2580395382403544
13,cognitive_distortion_score,0.25741501538682177
12,trust_signals,0.2568470489523851
7,response_time,0.20133126522190103
16,confidence_score,0.1899018951331728
9,conversation_length,0.017039230063324418
2,authority_claim,0.007799168318391558
8,message_frequency,0.002160337369724319
